park_name,park_code,states,designation,latitude,longitude,num_activities,num_topics,num_entrance_fees,description_length,has_camping,has_fishing,has_wildlife,has_biking,has_boating
Theodore Roosevelt Island,this,DC,,38.89584162,-77.06241918,8,9,0,395,False,False,True,False,False
Theodore Roosevelt National Park,thro,ND,National Park,47.17777274,-103.4300083,28,29,6,391,True,False,True,True,False
Thomas Cole National Historic Site,thco,NY,National Historic Site,42.22570607,-73.86154864,6,0,0,391,False,False,True,False,False
Thomas Edison National Historical Park,edis,NJ,National Historical Park,40.78549896,-74.23821139,3,10,2,382,False,False,False,False,False
Thomas Jefferson Memorial,thje,DC,,38.88101431,-77.03632572,3,3,0,96,False,False,False,False,False
Thomas Stone National Historic Site,thst,MD,National Historic Site,38.52934443,-77.037813,6,21,0,217,False,False,True,False,False
Timpanogos Cave National Monument,tica,UT,National Monument,40.44039719,-111.7093944,4,9,3,395,False,False,False,False,False
Timucuan Ecological & Historic Preserve,timu,FL,Ecological & Historic Preserve,30.47251894,-81.49950104,26,20,0,260,False,True,True,True,True
Tonto National Monument,tont,AZ,National Monument,33.64842945,-111.1135627,12,6,2,384,False,False,False,True,False
Touro Synagogue National Historic Site,tosy,RI,National Historic Site,41.4893,-71.3121,3,3,0,385,False,False,False,False,False
Trail Of Tears National Historic Trail,trte,"AL,AR,GA,IL,KY,MO,NC,OK,TN",National Historic Trail,36.0530021046,-89.6761041963,8,18,0,243,False,False,False,False,False
Tule Lake National Monument,tule,CA,National Monument,41.88727902,-121.3744818,6,5,0,348,False,False,False,False,False
Tule Springs Fossil Beds National Monument,tusk,NV,National Monument,36.3893217,-115.3202223,14,23,0,206,False,False,True,True,False
Tumacácori National Historical Park,tuma,AZ,National Historical Park,31.567824,-111.051223,21,26,2,389,False,False,True,False,False
Tupelo National Battlefield,tupe,MS,National Battlefield,34.25557705,-88.73708623,2,6,0,369,False,False,False,False,False
Tuskegee Airmen National Historic Site,tuai,AL,National Historic Site,32.45538671,-85.67983321,4,6,0,375,False,False,False,False,False
Tuskegee Institute National Historic Site,tuin,AL,National Historic Site,32.42962115,-85.70488498,3,4,0,393,False,False,False,False,False
Tuzigoot National Monument,tuzi,AZ,National Monument,34.77296377,-112.0279069,9,15,1,362,False,False,True,False,False
Ulysses S Grant National Historic Site,ulsg,MO,National Historic Site,38.55182374,-90.35169255,16,20,0,309,False,False,True,True,False
Upper Delaware Scenic & Recreational River,upde,"NY,PA",Scenic & Recreational River,41.66172578,-75.03861562,20,28,0,400,True,True,True,False,True
Valles Caldera National Preserve,vall,NM,National Preserve,35.91682872,-106.5195724,30,47,3,344,False,True,True,True,False
Valley Forge National Historical Park,vafo,PA,National Historical Park,40.10054985,-75.44581889,20,21,0,386,False,True,True,True,False
Vanderbilt Mansion National Historic Site,vama,NY,National Historic Site,41.79697937,-73.94205557,10,2,1,195,False,False,False,False,False
Vicksburg National Military Park,vick,"MS,LA",National Military Park,32.3621286,-90.85030186,17,7,8,393,False,False,False,True,False
Vietnam Veterans Memorial,vive,DC,,38.89096297,-77.04765735,3,2,0,203,False,False,False,False,False
Virgin Islands Coral Reef National Monument,vicr,VI,National Monument,18.28996918,-64.70683395,15,14,0,267,False,True,True,False,True
Virgin Islands National Park,viis,VI,National Park,18.34279656,-64.74194451,31,22,0,399,True,True,True,False,True
Voyageurs National Park,voya,MN,National Park,48.48370609,-92.8382913,48,37,0,378,True,True,True,True,True
Waco Mammoth National Monument,waco,TX,National Monument,31.60465887,-97.17606143,2,1,0,271,False,False,False,False,False
Walnut Canyon National Monument,waca,AZ,National Monument,35.16822994,-111.5024239,8,6,8,289,False,False,False,False,False
War In The Pacific National Historical Park,wapa,GU,National Historical Park,13.43795691,144.6922461,8,10,0,293,False,False,False,False,False
Washington Monument,wamo,DC,,38.88948,-77.035207,5,4,1,126,False,False,False,False,False
Washington-Rochambeau Revolutionary Route National Historic Trail,waro,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC",National Historic Trail,40.0958204557,-74.8563515109,0,10,0,208,False,False,False,False,False
Washita Battlefield National Historic Site,waba,OK,National Historic Site,35.62083963,-99.70445143,14,17,0,346,False,False,False,False,False
Weir Farm National Historical Park,wefa,CT,National Historical Park,41.25886268,-73.45452542,8,8,0,398,False,False,False,False,False
Whiskeytown National Recreation Area,whis,CA,National Recreation Area,40.61359941,-122.6022657,44,31,3,301,True,True,True,True,True
White Sands National Park,whsa,NM,National Park,32.77907858,-106.3333461,11,8,6,385,True,False,False,True,False
Whitman Mission National Historic Site,whmi,WA,National Historic Site,46.04119286,-118.4629388,15,11,0,379,False,False,True,False,False
William Howard Taft National Historic Site,wiho,OH,National Historic Site,39.11970352,-84.50758951,7,2,0,377,False,False,False,False,False
Wilson's Creek National Battlefield,wicr,MO,National Battlefield,37.1000127,-93.40986704,27,31,0,380,False,False,True,True,False
